 auto1, xcor1, auto2, xcor2
        76        66        58        58
        71        54        63        56
        62        59        59        69
        67        74        57        64
        67        65        61        66
        52        58        58        61
        56        47        62        62
        66        70        71        60
        55        61        62        55
        67        59        59        63
        66        59        58        67
        63        56        56        64
        66        66        53        83
        52        68        65        51
        58        69        62        62
        70        52        69        64
        61        65        65        78
        67        70        68        55
        66        69        49        66
        76        64        64        71
        69        58        70        63
        59        58        62        59
        67        52        55        54
        59        73        77        74
        70        76        73        54
        66        50        60        75
        57        52        54        68
        76        58        63        61
        63        76        64        63
        73        56        56        60
        74        65        58        71
        58        60        54        52
        59        65        63        63
        70        57        61        67
        68        51        52        63
        61        77        61        67
        47        65        56        51
        70        61        67        64
        62        67        54        63
        60        63        58        66
        63        66        50        51
        55        65        61        56
        68        60        64        48
        57        53        72        64
        62        69        64        61
        71        63        50        65
        68        57        59        48
        62        64        55        60
        68        61        77        55
        66        66        62        63
        69        56        64        60
        57        50        59        73
        63        66        51        63
        66        72        64        66
        62        55        66        61
        74        64        62        61
        42        57        57        61
        71        54        56        65
        48        52        59        49
        60        64        68        50
        64        62        56        70
        57        65        59        78
        66        54        71        63
        62        54        53        56
        76        69        62        77
        74        61        55        57
        56        61        59        48
        59        61        60        60
        64        49        71        57
        62        74        42        76
        59        59        58        58
        71        74        54        70
        71        52        59        54
        67        55        59        56
        48        65        76        72
        65        56        53        56
        60        63        68        67
        68        62        55        77
        63        54        54        59
        59        59        66        71
        52        57        71        63
        60        68        70        65
        74        69        64        67
        57        70        61        51
        55        72        51        51
        71        52        77        68
        65        68        61        58
        66        53        57        61
        59        74        53        70
        62        58        57        50
        66        71        60        60
        66        56        66        70
        51        65        63        61
        72        57        59        64
        65        58        65        56
        57        64        51        57
        67        65        56        66
        61        63        66        65
        63        50        53        56
        52        65        61        68
        81        67        57        67
        51        54        60        66
        61        66        55        65
        59        62        75        66
        74        58        44        57
        63        66        64        55
        70        72        51        67
        54        59        74        65
        61        52        48        53
        69        58        69        61
        63        52        73        62
        72        67        58        57
        61        60        48        63
        58        54        69        59
        67        72        48        69
        69        52        59        59
        71        59        64        57
        62        70        63        61
        66        55        60        62
        69        57        61        59
        61        71        61        78
        65        58        55        59
        64        68        67        59
        54        67        54        59
        62        61        64        65
        49        43        60        69
        69        64        62        55
        64        58        55        59
        62        65        46        62
        62        56        54        73
        68        68        74        68
        62        49        67        66
        64        59        60        52
        69        58        47        73
        48        68        56        56
        68        44        63        71
        65        54        47        59
        76        63        40        63
        59        68        61        57
        55        72        75        69
        71        48        79        54
        81        57        68        57
        58        70        56        69
        59        66        73        77
        72        60        57        51
        70        59        62        69
        66        58        57        63
        66        51        59        72
        67        72        66        61
        67        61        59        60
        65        65        51        73
        73        69        68        56
        62        66        55        73
        68        55        67        71
        64        55        75        66
        70        70        56        64
        71        61        68        76
        80        58        51        57
        59        69        52        72
        61        64        54        74
        63        63        81        59
        77        64        57        67
        54        57        54        59
        56        56        74        60
        62        70        58        73
        74        64        65        54
        66        62        70        44
        62        63        57        66
        70        70        56        75
        73        67        65        68
        60        74        66        79
        57        58        56        49
        70        52        48        60
        57        70        60        59
        63        62        77        66
        61        57        69        68
        47        76        54        58
        43        55        60        69
        82        64        65        51
        53        71        51        81
        75        66        61        54
        59        51        65        57
        61        72        58        71
        62        61        59        55
        60        54        66        53
        57        71        63        63
        68        70        52        53
        59        80        55        68
        56        53        74        61
        73        60        61        70
        71        76        56        46
        64        55        46        55
        53        68        56        62
        71        65        58        65
        52        55        74        70
        74        58        56        51
        73        74        72        77
        49        54        51        64
